"","V1"
"1",9
"2",4
"3",4
"4",9
"5",9
"6",3
"7",9
"8",1
"9",2
"10",1
"11",3
"12",3
"13",9
"14",3
"15",3
"16",5
"17",5
"18",5
"19",5
"20",4
"21",4
"22",5
"23",1
"24",5
"25",5
"26",5
"27",5
"28",3
"29",5
"30",3
"31",5
"32",4
"33",5
"34",8
"35",1
"36",4
"37",6
"38",5
"39",1
"40",5
"41",1
"42",5
"43",1
"44",5
"45",2
"46",6
"47",2
"48",2
"49",9
"50",9
"51",1
"52",1
"53",5
"54",7
"55",5
"56",5
"57",4
"58",3
"59",3
"60",5
"61",4
"62",5
"63",3
"64",3
"65",4
"66",5
"67",5
"68",4
"69",4
"70",5
"71",4
"72",9
"73",9
"74",10
"75",3
"76",1
"77",8
"78",4
"79",10
"80",2
"81",5
"82",10
"83",9
"84",7
"85",2
"86",1
"87",5
"88",9
"89",9
"90",6
"91",9
"92",10
"93",9
"94",7
"95",5
"96",8
"97",4
"98",9
"99",9
"100",10
"101",9
"102",9
"103",5
"104",7
"105",7
"106",7
"107",7
"108",7
"109",7
"110",9
"111",7
"112",4
"113",9
"114",7
"115",10
"116",7
"117",9
"118",3
"119",7
"120",7
"121",10
"122",9
"123",9
"124",10
"125",10
"126",10
"127",10
"128",4
"129",4
"130",7
"131",7
"132",9
"133",10
"134",10
"135",10
"136",10
"137",10
"138",1
"139",10
"140",9
"141",4
"142",9
"143",5
"144",9
"145",10
"146",10
"147",10
"148",9
"149",4
"150",10
"151",8
"152",7
"153",1
"154",6
"155",7
"156",10
"157",4
"158",7
"159",9
"160",8
"161",10
"162",9
"163",9
"164",1
"165",4
"166",7
"167",4
"168",7
"169",10
"170",9
"171",10
"172",9
"173",4
"174",3
"175",9
"176",4
"177",10
"178",7
"179",4
"180",9
"181",8
"182",3
"183",7
"184",4
"185",4
"186",4
"187",7
"188",6
"189",4
"190",10
"191",4
"192",6
"193",6
"194",4
"195",6
"196",6
"197",6
"198",5
"199",10
"200",4
"201",8
"202",7
"203",4
"204",9
"205",9
