"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","gusto","año","decir","deber","nombrar","público","carta","don","caso","haber","venir","obrar","verso","copiar","conocer"
"2","dios","señor","amigo","corazón","natrix","poder","perder","hablar","villa","esperar","amar","tomar","amor","hallar","ver"
"3","ver","servir","querer","idear","llamar","establecer","somoza","dar","cuyo","materia","gijón","autor","poeta","salir","personar"
"4","amigo","muy","hacer","quedar","añadir","proyecto","pág","fuero","cuidar","parecer","crear","ese","poder","san","hombre"
"5","dar","reconocer","pensar","memoria","campo","precisar","querer","rey","obrar","necesario","hermano","noticiar","poesía","amigo","dignar"
"6","mil","don","ver","dejar","aguar","mor","archivar","tomar","deseo","entender","puerto","madrid","defecto","mañana","dirigir"
"7","delio","guardar","escribir","cumplir","coser","dinero","estar","ver","pedir","estimación","asturias","don","querer","finar","los"
"8","leer","favor","acabar","deseo","latino","industriar","recibir","carmona","conde","elogiar","memoria","mérito","escribir","dejar","principio"
"9","amistad","orden","carta","continuar","libro","fondo","campomanes","caso","informar","papel","madre","escribir","hallar","inscripción","saber"
"10","leído","sociedad","llegar","seguro","artículo","tomar","suceder","español","arbitrio","representar","medir","tratar","objeto","sitio","asegurar"
