"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30"
"1","nombrar","personar","gusto","elogiar","san","encargar","obrar","sociedad","distinguir","honor","ver","decía","don","don","carta","paisano","afectísimo","don","copiar","agradecer","examen","verso","corazón","acercar","padre","perder","bondad","cariño","establecer","adjuntar"
"2","llamar","don","delio","causar","servir","campomanes","tomar","reconocer","poético","orden","amigo","limpio","fuero","león","fijar","gente","puerto","villa","año","parís","facultad","amor","pasar","obsequiar","mes","carta","quedar","natural","precisar","satisfacer"
"3","natrix","conocer","dios","ramo","tratar","abatir","autor","cuyo","decir","alto","querer","ocupar","tomar","san","guardar","admitir","hermano","consejo","guardar","coronar","nombrar","poeta","deber","suerte","semilla","somoza","aire","piedra","público","entero"
"4","especie","gusto","juan","llano","acordar","carta","madrid","objeto","muerte","inteligencia","decir","dignar","carmona","viajar","persuadir","afectísimo","gijón","cuyo","repetir","escribir","tribunal","defecto","amar","luz","cal","pág","corazón","procurar","dinero","estrechar"
"5","cuyo","hombre","juicio","satisfacción","ingle","entender","don","ciudad","parecer","patrio","hacer","recibí","rey","asturias","vestir","entretanto","amar","caso","academia","teatro","ingenio","poesía","continuar","portar","recibir","noticiar","forzar","río","erario","memoria"
"6","diccionario","justo","amistad","amigo","buque","noble","noticiar","juntar","arrebatar","sumar","dar","vivir","santo","salir","envidiar","sentir","allá","arbitrio","inscripción","cabezo","seguir","poder","conducto","necesario","cerrar","biblioteca","luz","cargo","industriar","respuesta"
"7","latino","carácter","leer","asiento","caso","canal","mérito","recoger","escoger","entender","obrar","hablar","citar","marcar","padre","calidad","mañana","orden","real","mus","profesor","causar","librar","ocurrir","artículo","instituto","extender","finísimo","fondo","arte"
"8","libro","conservar","gustar","atrever","fernández","concluir","historiar","ocasión","extrañar","guerra","hallar","sobrar","especial","tío","publicar","ver","país","informar","servir","prólogo","lorite","dulce","libertad","amable","conde","catálogo","adonis","bastante","mor","diligenciar"
"9","plinio","traducción","hermano","fineza","ambición","estimación","discurso","personar","juan","hartar","pensar","mejorar","fuer","sentar","acompañar","asegurar","mando","noticiar","motivo","batilo","quejar","voz","nacer","aprovechar","mor","cortar","asegurar","consejo","comerciar","importancia"
"10","castellano","talento","seguir","impreso","campomanes","interesar","escribir","promover","original","menor","escribir","comparar","historiar","ciudad","menester","componer","precisar","real","voluntad","moratín","confiar","composición","quitar","comerciar","permitir","dueño","embarazar","conservar","producir","ocupar"
