"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7"
"1","ver","decir","perder","querer","nombrar","ver","juntar"
"2","año","hacer","carta","deseo","obrar","obrar","cortar"
"3","real","poder","fechar","carta","copiar","escribir","gobierno"
"4","servir","conocer","diario","amar","noticiar","idear","pueblo"
"5","consejo","deber","citar","hermano","hallar","gusto","hombre"
"6","instituto","querer","enviar","dios","san","tomar","españa"
"7","establecer","coser","referir","esperar","libro","verso","ejército"
"8","orden","pasar","extractar","venir","historiar","materia","escribir"
"9","guardar","pensar","fuerte","volver","tomar","sentir","partir"
"10","informar","tratar","papel","ver","santo","amor","enemigo"
