"","V1"
"1",7
"2",3
"3",5
"4",7
"5",7
"6",2
"7",7
"8",7
"9",4
"10",7
"11",3
"12",3
"13",4
"14",2
"15",3
"16",6
"17",2
"18",6
"19",6
"20",3
"21",1
"22",2
"23",7
"24",3
"25",3
"26",2
"27",3
"28",3
"29",6
"30",3
"31",3
"32",6
"33",2
"34",2
"35",4
"36",6
"37",2
"38",3
"39",2
"40",3
"41",2
"42",2
"43",2
"44",1
"45",2
"46",4
"47",2
"48",2
"49",7
"50",7
"51",7
"52",7
"53",3
"54",2
"55",2
"56",4
"57",3
"58",3
"59",3
"60",3
"61",3
"62",3
"63",3
"64",2
"65",3
"66",3
"67",2
"68",6
"69",2
"70",3
"71",6
"72",7
"73",7
"74",4
"75",2
"76",2
"77",2
"78",6
"79",6
"80",2
"81",1
"82",7
"83",7
"84",6
"85",2
"86",7
"87",3
"88",7
"89",7
"90",7
"91",3
"92",7
"93",7
"94",2
"95",7
"96",3
"97",3
"98",7
"99",7
"100",7
"101",7
"102",7
"103",1
"104",1
"105",1
"106",4
"107",2
"108",1
"109",7
"110",1
"111",1
"112",3
"113",7
"114",1
"115",5
"116",2
"117",3
"118",1
"119",2
"120",1
"121",3
"122",2
"123",2
"124",7
"125",7
"126",7
"127",1
"128",3
"129",3
"130",5
"131",7
"132",7
"133",1
"134",7
"135",1
"136",3
"137",7
"138",7
"139",7
"140",7
"141",6
"142",3
"143",2
"144",7
"145",4
"146",1
"147",7
"148",7
"149",6
"150",2
"151",2
"152",1
"153",2
"154",2
"155",2
"156",1
"157",6
"158",6
"159",2
"160",2
"161",1
"162",7
"163",4
"164",7
"165",7
"166",1
"167",7
"168",1
"169",4
"170",7
"171",4
"172",1
"173",2
"174",1
"175",7
"176",1
"177",7
"178",7
"179",7
"180",7
"181",2
"182",1
"183",1
"184",4
"185",3
"186",2
"187",6
"188",6
"189",1
"190",1
"191",3
"192",1
"193",3
"194",1
"195",6
"196",1
"197",1
"198",1
"199",6
"200",7
"201",1
"202",7
"203",5
"204",1
"205",7
"206",2
"207",1
"208",7
"209",7
"210",7
"211",7
"212",2
"213",7
"214",1
"215",7
"216",4
"217",7
"218",4
"219",6
"220",5
"221",7
"222",6
"223",7
"224",7
"225",6
"226",4
"227",6
"228",6
"229",6
"230",7
"231",6
"232",6
"233",7
"234",6
"235",6
"236",6
"237",6
"238",7
"239",6
"240",6
"241",6
"242",6
"243",6
"244",6
"245",6
"246",6
"247",6
"248",6
"249",7
"250",7
"251",6
"252",6
"253",6
"254",6
"255",6
"256",6
"257",7
"258",6
"259",4
"260",6
"261",6
"262",7
"263",3
"264",2
"265",7
"266",7
"267",7
"268",7
"269",7
"270",7
"271",7
"272",7
"273",7
"274",7
"275",4
"276",7
"277",3
"278",1
"279",5
"280",1
"281",7
"282",6
"283",1
"284",7
"285",6
"286",6
"287",6
"288",7
"289",5
"290",7
"291",2
"292",2
"293",7
"294",7
"295",7
"296",7
"297",7
"298",1
"299",1
"300",1
"301",1
"302",7
"303",1
"304",1
"305",1
"306",7
"307",7
"308",7
"309",7
"310",7
"311",1
"312",2
"313",4
"314",2
"315",1
"316",1
"317",7
"318",1
"319",3
"320",3
"321",3
"322",3
"323",7
"324",5
"325",7
"326",4
"327",3
"328",7
"329",7
"330",1
"331",1
"332",3
"333",7
"334",7
"335",2
"336",4
"337",4
"338",7
"339",7
"340",7
"341",5
"342",7
"343",1
"344",4
"345",1
"346",7
"347",7
"348",3
"349",1
"350",7
"351",7
"352",1
"353",6
"354",4
"355",1
"356",7
"357",7
"358",1
"359",1
"360",3
"361",7
"362",1
"363",7
"364",2
"365",2
"366",7
"367",4
"368",1
"369",1
"370",3
"371",1
"372",3
"373",7
"374",6
"375",7
"376",4
"377",2
"378",7
"379",1
"380",2
"381",7
"382",1
"383",7
"384",1
"385",4
"386",4
"387",7
"388",4
"389",2
"390",7
"391",2
"392",1
"393",2
"394",3
"395",1
"396",2
"397",3
"398",3
"399",2
"400",7
"401",7
"402",2
"403",3
"404",3
"405",7
"406",7
"407",3
"408",3
"409",3
"410",3
"411",2
"412",3
"413",3
"414",7
"415",3
"416",3
"417",3
"418",3
"419",2
"420",3
"421",3
"422",3
"423",3
"424",3
"425",4
"426",3
"427",3
"428",3
"429",3
"430",7
"431",7
"432",3
"433",7
"434",3
"435",3
"436",3
"437",3
"438",3
"439",4
"440",3
"441",3
"442",3
"443",3
"444",3
"445",3
"446",3
"447",3
"448",3
"449",3
"450",3
"451",3
"452",3
"453",3
"454",3
"455",3
"456",3
"457",3
"458",3
"459",3
"460",3
"461",3
"462",4
"463",3
"464",3
"465",3
"466",3
"467",3
"468",3
"469",3
"470",3
"471",3
"472",3
"473",3
"474",3
"475",3
"476",3
"477",3
"478",3
"479",3
"480",3
"481",1
"482",3
"483",6
"484",7
"485",4
"486",3
"487",3
"488",3
"489",3
"490",3
"491",3
"492",3
"493",3
"494",3
"495",3
"496",3
"497",7
"498",3
"499",3
"500",3
"501",7
"502",4
"503",3
"504",7
"505",3
"506",4
"507",3
"508",5
"509",3
"510",3
"511",3
"512",4
"513",3
"514",3
"515",4
"516",3
"517",1
"518",3
"519",3
"520",3
"521",3
"522",3
"523",7
"524",7
"525",7
"526",3
"527",3
"528",3
"529",3
"530",3
"531",7
"532",7
"533",3
"534",3
"535",3
"536",3
"537",3
"538",3
"539",3
"540",3
"541",3
"542",3
"543",6
"544",1
"545",3
"546",3
"547",3
"548",3
"549",3
"550",3
"551",7
"552",3
"553",3
"554",3
"555",7
"556",3
"557",3
"558",3
"559",3
"560",3
"561",3
"562",7
"563",2
"564",4
"565",3
"566",7
"567",3
"568",3
"569",3
"570",3
"571",3
"572",3
"573",7
"574",7
"575",3
"576",3
"577",3
"578",4
"579",3
"580",3
"581",3
"582",3
"583",3
"584",2
"585",3
"586",6
"587",3
"588",3
"589",3
"590",4
"591",5
"592",3
"593",3
"594",3
"595",3
"596",3
"597",1
"598",3
"599",3
"600",4
"601",3
"602",5
"603",3
"604",3
"605",3
"606",3
"607",3
"608",3
"609",3
"610",3
"611",3
"612",7
"613",3
"614",3
"615",3
"616",3
"617",4
"618",7
"619",3
"620",6
"621",3
"622",3
"623",3
"624",3
"625",3
"626",3
"627",3
"628",3
"629",3
"630",3
"631",3
"632",3
"633",3
"634",3
"635",7
"636",3
"637",3
"638",3
"639",3
"640",3
"641",3
"642",3
