"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7"
"1","venir","obrar","perder","público","carta","carta","año"
"2","hallar","escribir","fechar","deber","escribir","dios","real"
"3","querer","tomar","citar","conocer","juntar","hermano","servir"
"4","enviar","conocer","diario","formar","llegar","cuidar","encargar"
"5","salir","nombrar","referir","partir","esperar","querer","caso"
"6","volver","coser","carta","rey","cortar","salud","consejo"
"7","pensar","historiar","extractar","hallar","recibir","deseo","quedar"
"8","hablar","leer","verso","derecho","ejército","amar","deseo"
"9","mandar","palabra","mil","ley","amigo","caso","guardar"
"10","nombrar","libro","instituto","punto","gobierno","gracia","favor"
"11","copiar","autor","juan","principio","mañana","correr","orden"
"12","madrid","gusto","gusto","necesario","amable","dar","ofrecer"
"13","saber","merecer","alud","objeto","noticiar","fuerte","dirigir"
"14","poner","materia","valdés","proponer","acabar","papel","rogar"
"15","entrar","ser","quedar","establecer","querer","moza","reconocer"
"16","llamar","dar","amor","opinión","milady","dejar","pedir"
"17","memoria","noticiar","gracia","idear","enemigo","vivir","dignar"
"18","gijón","hablar","manuel","estudio","costar","corazón","informar"
"19","acá","buscar","resumir","ciudad","forzar","noticiar","villa"
"20","parecer","sacar","dibujo","probar","venir","esperar","dar"
"21","afectísimo","descubrir","francisco","plan","faltar","pág","presentar"
"22","acaso","manar","expresión","dudar","cádiz","inventario","afecto"
"23","medir","san","bello","útil","esperanzar","permitir","asunto"
"24","dar","instrucción","copiar","asturias","dejar","situación","comunicar"
"25","patrio","voz","hijo","acercar","temer","tierno","instituto"
