"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6"
"1","querer","obrar","hacer","perder","ver","carta"
"2","decir","nombrar","público","carta","deseo","escribir"
"3","dios","escribir","real","fechar","año","venir"
"4","hacer","decir","deber","citar","servir","juntar"
"5","cuidar","copiar","poder","diario","esperar","cortar"
"6","gusto","hallar","objeto","hermano","gracia","acabar"
"7","poder","san","necesario","referir","encargar","llegar"
"8","dejar","tomar","obrar","avisar","caso","esperar"
"9","pensar","memoria","establecer","enviar","dar","volver"
"10","amar","rey","derecho","noticiar","ofrecer","recibir"
"11","caso","libro","punto","extractar","afecto","ejército"
"12","sentir","hablar","estudio","papel","guardar","afectísimo"
"13","faltar","conocer","conocer","fuerte","quedar","querer"
"14","corazón","dudar","orden","moza","favor","amar"
"15","volver","historiar","idear","salud","dignar","salir"
"16","hallar","materia","proponer","pedir","dirigir","asturias"
"17","coser","antiguo","ley","real","recibir","mañana"
"18","dar","palabra","acercar","pág","finar","gobierno"
"19","verso","autor","año","inventario","reconocer","hombre"
"20","deber","llamar","formar","instituto","estimar","amable"
"21","vestir","poner","plan","contestar","seguro","noticiar"
"22","vivir","sacar","principio","archivar","consejo","enemigo"
"23","amistad","noticiar","medir","acevedo","rogar","milady"
"24","tierno","probar","país","leg","señor","costar"
"25","escribir","dar","necesidad","sobrino","personar","correr"
