"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7"
"1","hermano","juntar","decir","ver","real","perder","conocer"
"2","cuidar","cortar","querer","deseo","año","carta","obrar"
"3","querer","carta","venir","servir","orden","fechar","deber"
"4","esperar","escribir","hacer","dignar","consejo","citar","idear"
"5","salud","gobierno","pensar","reconocer","establecer","diario","poder"
"6","caso","llegar","escribir","dar","obrar","noticiar","materia"
"7","deber","ejército","gusto","año","hacer","enviar","hallar"
"8","deseo","hombre","volver","recibir","informar","referir","tomar"
"9","decir","venir","coser","afecto","encargar","extractar","historiar"
"10","dar","querer","salir","nombrar","objeto","fuerte","estudio"
"11","pedir","esperar","dios","sentir","villa","papel","ley"
"12","dios","amable","dejar","ofrecer","instituto","moza","hacer"
"13","faltar","enemigo","caso","favor","presentar","copiar","verso"
"14","amar","forzar","dar","gracia","pedir","archivar","autor"
"15","quedar","milady","saber","finar","asturias","pág","antiguo"
"16","asunto","costar","memoria","señor","necesario","inventario","buscar"
"17","permitir","mañana","correr","mirar","formar","acevedo","rey"
"18","hacer","pueblo","acabar","personar","fondo","leg","formar"
"19","tomar","recibir","poner","quedar","avisar","juan","derecho"
"20","poder","volver","san","expresión","servir","avisar","dudar"
"21","hallar","partir","hablar","motivo","mil","francisco","nombrar"
"22","vestir","temer","manar","seguro","proponer","escribir","palabra"
"23","corazón","asturias","mandar","rogar","pagar","instituto","decir"
"24","dejar","cádiz","llevar","apreciar","gijón","alud","libro"
"25","conservar","patrio","acá","guardar","principado","valdés","tanto"
