"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","venir","obrar","nombrar","carta","caso","deseo","verso","gusto","público","ver"
"2","querer","tomar","hablar","año","consejo","esperar","poder","dios","precisar","hacer"
"3","pensar","noticiar","antiguo","copiar","pedir","quedar","querer","mil","sociedad","conocer"
"4","ver","tratar","historiar","servir","villa","pasar","amor","coser","establecer","escribir"
"5","decir","autor","carta","afecto","hacer","deber","decir","dar","poder","personar"
"6","dejar","madrid","caso","perder","cuyo","favor","poeta","delio","proyecto","gusto"
"7","afectísimo","mérito","dar","guardar","orden","razón","tanto","acaso","dar","dignar"
"8","acabar","escribir","citar","hallar","reconocer","año","poesía","finar","juntar","haber"
"9","memoria","ver","conocer","real","cuidar","merecer","juzgar","amistad","mor","ofrecer"
"10","asturias","hallar","fuero","motivo","arbitrio","encargar","causar","valdés","crear","ocupar"
