"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13"
"1","deseo","ver","año","tomar","carta","ver","caso","nombrar","querer","gusto","verso","dejar","público"
"2","sociedad","hacer","servir","obrar","copiar","venir","villa","noticiar","decir","dios","amor","decir","esperar"
"3","razón","conocer","afecto","autor","perder","amar","consejo","llamar","pensar","dar","poder","deber","establecer"
"4","correr","dignar","guardar","historiar","hallar","hermano","obrar","conocer","poner","delio","poeta","escribir","poder"
"5","juntar","hombre","reconocer","madrid","escribir","acabar","puerto","antiguo","tanto","mil","defecto","punto","dar"
"6","memoria","idear","quedar","notar","finar","volver","hacer","carta","parecer","coser","poesía","corazón","mor"
"7","país","materia","real","mérito","año","salir","pedir","manar","coser","sentir","idear","causar","crear"
"8","mandar","dirigir","encargar","palabra","ciudad","llegar","asunto","saber","ocupar","acaso","mus","partir","dinero"
"9","objeto","personar","orden","tratar","somoza","mañana","informar","libro","mandar","batilo","ver","seguir","útil"
"10","asegurar","principio","motivo","ver","pág","san","cuidar","especie","necesario","leer","obrar","capaz","industriar"
