"","V1"
"1",16
"2",19
"3",16
"4",8
"5",8
"6",17
"7",6
"8",8
"9",16
"10",1
"11",12
"12",13
"13",18
"14",17
"15",17
"16",11
"17",11
"18",11
"19",11
"20",11
"21",17
"22",15
"23",14
"24",7
"25",11
"26",11
"27",11
"28",7
"29",11
"30",17
"31",11
"32",19
"33",11
"34",6
"35",1
"36",19
"37",18
"38",12
"39",18
"40",11
"41",1
"42",4
"43",12
"44",14
"45",10
"46",5
"47",10
"48",10
"49",5
"50",5
"51",8
"52",13
"53",11
"54",6
"55",12
"56",1
"57",19
"58",17
"59",11
"60",12
"61",4
"62",12
"63",9
"64",17
"65",3
"66",17
"67",12
"68",19
"69",7
"70",11
"71",3
"72",4
"73",4
"74",14
"75",15
"76",17
"77",15
"78",19
"79",19
"80",16
"81",12
"82",2
"83",2
"84",13
"85",16
"86",1
"87",11
"88",2
"89",2
"90",5
"91",4
"92",2
"93",2
"94",14
"95",5
"96",19
"97",19
"98",4
"99",2
"100",6
"101",4
"102",4
"103",11
"104",13
"105",13
"106",13
"107",13
"108",13
"109",13
"110",4
"111",6
"112",19
"113",6
"114",13
"115",20
"116",3
"117",19
"118",11
"119",13
"120",13
"121",19
"122",4
"123",4
"124",2
"125",2
"126",2
"127",2
"128",19
"129",19
"130",13
"131",2
"132",6
"133",14
"134",7
"135",2
"136",19
"137",2
"138",2
"139",6
"140",4
"141",19
"142",4
"143",1
"144",4
"145",2
"146",6
"147",2
"148",3
"149",19
"150",7
"151",5
"152",2
"153",14
"154",1
"155",5
"156",7
"157",19
"158",7
"159",4
"160",15
"161",7
"162",4
"163",5
"164",20
"165",7
"166",7
"167",19
"168",7
"169",7
"170",3
"171",7
"172",4
"173",19
"174",7
"175",5
"176",7
"177",2
"178",20
"179",18
"180",14
"181",15
"182",9
"183",13
"184",16
"185",19
"186",10
"187",6
"188",14
"189",7
"190",7
"191",19
"192",20
"193",20
"194",19
"195",20
"196",20
"197",14
"198",7
"199",12
"200",2
"201",5
"202",8
"203",7
"204",2
"205",18
