"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20"
"1","público","consejo","deseo","año","sociedad","hacer","amar","ver","ver","nombrar","delio","gusto","pensar","escribir","obrar","fuero","verso","conocer","carta","noticiar"
"2","establecer","caso","deber","copiar","memoria","esperar","puerto","ciudad","decir","llamar","mil","poder","ofrecer","hablar","tomar","palabra","amor","objeto","perder","acabar"
"3","poder","villa","manar","guardar","servir","poner","venir","formar","querer","medir","sentir","dar","venir","querer","autor","santo","poeta","principio","noticiar","mandar"
"4","precisar","arbitrio","faltar","hallar","juntar","afecto","obrar","caso","coser","antiguo","hermano","leer","san","punto","madrid","tomar","defecto","dignar","somoza","mañana"
"5","dinero","representación","merecer","disposición","país","dudar","afectísimo","personar","parecer","cuyo","acaso","año","entretanto","dar","mérito","especial","voz","hombre","pág","talento"
"6","mor","orden","quedar","inscripción","proporcionar","correr","formar","cortar","mil","aguar","batilo","dios","salir","materia","noche","examinar","poema","reconocer","real","representar"
"7","proyecto","avisar","seguir","finar","ocasión","cuyo","gijón","recoger","poder","convenir","amistad","gustar","viajar","carta","ver","notar","observar","dirigir","fuerte","quedar"
"8","comerciar","asunto","dejar","academia","nombrar","estimar","asturias","dignar","mundo","hombre","finar","excelente","correr","memoria","libro","rey","dulce","personar","archivar","estimación"
"9","industriar","conde","favor","rogar","examen","razón","conocer","cuidar","partir","artículo","corazón","coser","cuidar","empezar","estilo","carmona","oír","gusto","enviar","llevar"
"10","pueblo","portar","pasar","dios","asegurar","pedir","pedir","promover","tratar","castellano","gracia","estudio","dejar","arte","historiar","siglo","poesía","pensar","corresponder","allá"
