"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","ver","carta","precisar","obrar","gusto"
"2","año","caso","punto","tomar","querer"
"3","deseo","pedir","memoria","verso","poder"
"4","hacer","villa","público","nombrar","pensar"
"5","quedar","decir","formar","autor","dar"
"6","conocer","poner","faltar","escribir","coser"
"7","servir","puerto","dar","amor","copiar"
"8","afecto","real","efecto","tratar","decir"
"9","reconocer","consejo","sociedad","noticiar","mil"
"10","llegar","perder","idear","mérito","mandar"
