"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7"
"1","querer","carta","obrar","deseo","ver","gusto","poder"
"2","ver","copiar","tomar","consejo","año","verso","precisar"
"3","decir","servir","nombrar","pedir","quedar","amor","público"
"4","pensar","guardar","autor","caso","deber","poder","sociedad"
"5","venir","perder","tratar","villa","conocer","sentir","caso"
"6","dejar","real","hablar","puerto","esperar","escribir","proyecto"
"7","mandar","san","antiguo","noticiar","hacer","delio","establecer"
"8","mil","año","libro","orden","dignar","tanto","idear"
"9","coser","rey","historiar","asunto","afecto","poeta","útil"
"10","finar","hallar","noticiar","obrar","paso","hallar","objeto"
