"Id";"Objeto";"Fecha";"LugarEmision";"LugarRecepcion";"EscribeA";"RecibeDe";"año";"TextoCarta"
1;"#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=2820#";19/12/1767 0:00:00;"Gijón";"Sevilla";"Rector del Colegio Mayor de Santa María de la Universidad de Sevilla";;1767;"Muy señor mío: Habiendo merecido a la piedad del Rey nuestro señor distinguiese mi corto mérito nombrándome para servir una plaza de Alcalde de la Cuadra en esa Real Audiencia, paso a comunicarlo a V.S.I., ofreciéndome con este motivo a su disposición, para que logre completar esta satisfacción con la de que V.S.I. se digne contarme en el número de sus fieles respetuosos servidores. Dios nuestro Señor prospere y conserve a V.S.I. por muchos años. B. l. m. de V.S.I. su más rendido atento servidor Gaspar Melchor de Jovellanos."
2;"#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=2819#";29/6/1768 0:00:00;"Morata";"Gijón";;"José Antonio Armona";1768;"Perdida. Estaba en la Biblioteca del Instituto de Jovellanos, vol. XIII (SOMOZA, Catálogo, pág. 36). Constaba de 20 págs. y en ella le daba noticias de don Martín de Ulloa, natural de Sevilla."
3;"#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=2821#";;"Sevilla";"Madrid";"Campomanes";;1768;"Perdida. En la carta de Jovellanos a Campomanes de 23 de julio de 1768 se refiere a otra que le ha escrito después de su llegada a Sevilla, por tanto entre el 29 de marzo y el 23 de julio de ese mismo año."
4;"#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=2822#";23/7/1768 0:00:00;"Sevilla";"Madrid";"Campomanes";;1768;"Muy señor mío y mi venerado favorecedor: Después que participé a V.S. mi arribo a esta ciudad y mis primeros establecimientos en el destino que debo principalmente al favor de V.S., no he querido repetir carta alguna por no usurpar a V.S. el tiempo que tan dignamente destina al desempeño de sus gravísimas ocupaciones. Pero habiéndome avisado Argandona que S.M. había señalado a V.S. y a las señoritas tres pensiones, he resuelto significar a V.S. la singular complacencia que me ha causado esta noticia, que aunque se deba suponer en el agradecimiento en que me constituyen los favores con que V.S. me ha distinguido, no excuso el hacerlo presente, porque no se confunda la verdadera fineza con que miro las proporciones de esa casa en el olvido de este necesario silencio.
Tengo carta del tío Sumiller los más correos. En el favor de V.S., el patrocinio de este poderoso y el esmero con que dedico mi corto talento al desempeño de las obligaciones de juez criminal confío que algún día podré salir de la miseria del medio sueldo. La renta es poca, el pueblo lucido, las casas y los alimentos carísimos, la decencia de un juez indispensable, de suerte que ni aun a costa de andar a pie puedo lograr el estar bien sustentado.
V.S. me ha dado facultad para que le representase humildemente lo que creyese digno de su noticia. En este supuesto, no puedo dejar de acordarle que nuestro Regente, el señor Cárdenas, es un buen letrado, un juez íntegro, un sujeto que ha servido a S.M. con mucho celo y honor, y finalmente digno de que no se quede Regente perpetuo y de que se le proporcione algún ascenso.
Quedo con el más fino rendimiento a los pies de mi señora doña Manuela y señoritas, y deseoso de que V.S. mande cuanto quiera a su favorecido y más reconocido servidor que b. 1. m. de V.S.
Gaspar de Jovellanos."
5;"#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=2823#";7/3/1770 0:00:00;"Sevilla";"Madrid";"Campomanes";;1770;"Muy señor mío, mi favorecedor y mi dueño: Dos años ha que excuso a V.S. la molestia de mis cartas, y continuaría por más tiempo esté silencio, si no me obligase a interrumpirle mi necesidad. Actualmente estoy pagando el último año de media annata, habiendo estado uno con medio sueldo, y creo que esta consideración y el notorio desinterés con que he procedido, bastarán a disculpar la solicitud del día. Mi hermano, D. Domingo Argandona, tiene el encargo de hacer presente a V.S. que, si hubiese lugar de proporcionarme algún encargo o comisión del Consejo, podría recordar a V.S. mi nombre para él; yo lograría a un mismo tiempo tener alguna ayuda de costa y dar a conocer mi ardiente deseo de servir a S.M., y contemplando que una residencia podría ser encargo proporcionado a mis fuerzas, espero que V.S. le ayude con su influjo al logro de esta solicitud. En todos casos, la aprobación de V.S. debe preceder a cualquiera diligencia que haga a mi favor, y el de V.S. es el único que podrá esforzarla. Así lo espero de su piadosa benignidad, a que viviré siempre agradecido. Dios nuestro [señor] guarde a V.S. muchos años. B. 1. m. de V.S. su más reconocido servidor. Gaspar de Jovellanos."
6;"#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=2824#";11/8/1773 0:00:00;"Sevilla";;"Carlos González de Posada";;1773;"Muy señor mío y mi estimado paisano: Doy a usted muy finas y sinceras gracias por el romance que me dirige, por el elogio, aunque injusto, que se digna hacer de mi corto mérito, y por el concepto que forma de mi talento sometiendo a mi censura esta obrita. Cuanto puedo decir de ella se reduce a pocas palabras. Si se examina según la verdad, los elogios que contiene son demasiado abultados, pues los sujetos que comprende no son dignos o correspondientes al panegírico que se les hace, y se conoce que el afecto nacional y el entusiasmo poético arrebataron su imaginación de usted y colocaron sus héroes entre los signos del Zodíaco; lo que no digo yo porque no sean dignos de alabanza, sino porque la alabanza que se hace de ellos es de mayor tamaño. Y aunque se puede decir que esto se debe atribuir a los colores de la poesía, ya sabe usted que la poesía didáctica no concede tantas licencias. Pero si considero el romance como poeta, hallo en él mil gracias: muchos pensamientos sublimes y brillantes, muchos versos correctos y armoniosos, algunas ideas originales, y sobre todo un estilo fácil, noble y de bastante majestad. Seguramente usted podr[í]a hacer grandes cosas en poesía, si se aplicase particularmente a este ramo, estudiándola por principios en Aristóteles, Horacio, Scalígero, Cascales, el Pinciano, el Brocense, Marmontel, Boileau, Castelvetro, y otros maestros, entre cuyas obras creo que no desconocerá usted las hermosas Instituciones poéticas del padre Juvencio, que andan al fin de la Retórica del padre Colonia en algunas ediciones, y son la cosa mejor que yo he leído. El romance tiene sus defectos: algunos versos de mala medida, otros de no buen sonido, algunos pensamientos débiles, tal como el que se funda en la voz madera, y alguna otra cosilla que desdice del tono alto y elevado en que están templadas las cuerdas de su sonora y bien sonante lira. Por lo que toca al pensamiento general de trabajar para el país, no puedo dejar de aprobarle como digno de eterna alabanza y del reconocimiento de todos los paisanos; pero en cuanto al uso que debe hacerse de este trabajo, para comunicar a usted mis ideas necesitaba de mucho tiempo y papel, y no tengo todas las luces que quisiera para dirigir a usted en esta empresa. No obstante, algo apunto a Concha, que no dejará de comunicarlo a usted. Concluyo con ofrecerme a su disposición y asegurarle de mi estimación, reconocimiento y deseo eficaz de servirle. Crea usted que celebraría ser hombre de facultades o de influjo para fomentar sus buenos designios; pero conténtese usted con tener en mí un fino paisano y afecto servidor. Gaspar de Jovellanos."
7;"#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=2825#";;"Sevilla";"Madrid";"Campomanes";;1774;"Muy señor mío y mi venerado favorecedor: Al fin se ha perdido la prebenda, que recayó en Valcarce. Las cartas de V.S.I. hubieran producido todo el efecto que merecían, si la inacción en que se mantuvieron los amigos del obispo de Segovia no hubiese dejado tomar fuerzas al partido opuesto, y debilitarse el suyo. El logro se hubiera conseguido a poca diligencia de éstos, pero absolutamente no hicieron alguna. Yo miraba con sumo dolor que les arrebataban de las manos esta buena presa. Clamé, insté, y, sin embargo, se mantuvieron tranquilos y se dejaron vencer. Este es el resumen de todo y lo que V.S.I. debe creer. Peláez a la vista tendrá el honor de explicar el pormenor. En todo caso él y yo estamos íntimamente reconocidos a las pruebas distinguidas de protección que V.S.I. nos ha dado con este motivo, y aunque sentimos muy de veras que a sus insinuaciones no se hubiese dado todo el aprecio que por tantos títulos merecían, siempre nos quedará el consuelo, a Peláez, de haber sido el objeto de ellas, y a mí, de haber merecido que V.S.I. las hiciese a influjo mío. También nos queda el consuelo de que todos hagan justicia al mérito del señor Peláez, manifestado tan sobresalientemente en este caso. La pasión, ni el furor de partido no han bastado a oscurecerle, y a pesar del ardor con que muchos se declararon por Valcarce, la fuerza de la verdad arrancó a los mismos que le favorecían la confesión del mérito de su rival. Así ha quedado siempre airosa la protección de V.S.I., concedida a un sujeto digno de ella. Lo demás importa poco. Por lo común en estos casos, ni el Espíritu Santo influye, ni la razón alumbra, ni la justicia decide. Cada particular se determina por razones privadas, y la voluntad general de una comunidad es siempre el resultado de las inclinaciones particulares. Repito a V.S.I. las más rendidas gracias por la continuación de su favor, y quedo deseoso de sus preceptos, rogando al Altísimo conserve feliz su persona por muchos años. De V.S.I. el más reconocido y fino servidor. Gaspar de Jovellanos. En un catálogo de libros italianos que estoy reconociendo, se halla el siguiente: La causa de poveri superi ore agli ornamenti meno utili e sup erflui dell\'altare. Opera atribuita al celebre Campomanes, 1767, en 4. º. Si V.S.I. lo tuviese a bien, se dignará avisarme si debo adquirirla y tenerla por suya."
8;"#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=2826#";17/5/1775 0:00:00;"Sevilla";"Madrid";"Campomanes";;1775;"Muy señor mío y mi venerado favorecedor: Como sé que V.S.I. es protector declarado de los hombres de mérito, he resuelto recomendarle el de don Josef Tabera, prebendado de esta santa Iglesia y persona que reúne a todas las virtudes sacerdotales un ingenio sobresaliente y delicado y una erudición vasta y escogida. Reducido a vivir de una media ración en este país donde el alimento y vestuario se compran a precios altísimos, está precisado a pasar una vida oscura, con tanto retiro y estrechez que sólo pudieran hacerla tolerable su parsimonia y su recogimiento. Yo le conozco muy bien, y aseguro a V.S.I. con ingenuidad que me compadece el verle adocenado en las últimas sillas de su coro, cuando las buenas calidades y dotes que posee le hacen acreedor a las primeras. Es uno de los cuarenta individuos de la Sociedad Patriótica que acaba de erigirse en esta ciudad, como primer fruto del inmortal discurso que V.S.I. ha publicado sobre el fomento de la industria popular, y puedo asegurar que es una de las personas sobre cuyos conocimientos, celo y aplicación funda la Sociedad sus mejores esperanzas. Pero, ¿cómo podrá dedicarse todo a este objeto, distraído por los cuidados que causa la indigencia? Crea V.S.I. que tenía mucha razón el célebre consejero de Santa Clara cuando decía: Is, cui res angusta/ domi est, qui paupere censu/ stringitur, officio par nequit esse suo./ Sorte gravi afficitur, nusquam mens libera curis... Con este motivo renuevo a V.S.I. la memoria de mi gratitud, y pido a nuestro Señor dilate su vida por muchos años. P.D. Ilmo. Sr.: D. Josef Tabera desea el logro de la canonjía vacante en esta catedral, no por ambición, sino para vivir con más desahogo y menos estrechez. Sabe V.S.I. que no soy importuno y que, hecho cargo de sus graves ocupaciones, no acostumbro distraerle de ellas con súplicas molestas. Pero como sé que V.S.I. desea conocer el mérito dondequiera que esté, y recompensarle, aunque se halle desvalido, creo que no podrá reprobar este movimiento de mi amistad y amor a la justicia en favor de una persona que merece por mil títulos la protección de V.S.I., de quien quedo como siempre muy reconocido y afecto servidor que b. s. m. Gaspar de Jovellanos."
9;"#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=2827#";16/6/1775 0:00:00;"Holanda";"Sevilla";;"Ignacio de Asso";1775;"Perdida. Se cita en Matías SANGRADOR Y VÍTORES, Historia de la administración de justicia y del antiguo gobierno del Principado de Asturias, y colección de sus fueros, cartas-pueblas y antiguas ordenanzas, Oviedo, 1866, pág. 99: «Como fuero, parece que ninguno puede alegar mayor antigüedad que el de la villa de Gijón, pero existe hasta ahora de él otra noticia, que se da en las cortes celebradas por don Alfonso XI en Carrión, el año de 1317, en las que se confirmaron algunos de sus artículos. En una carta que don Ignacio Asso escribió al Excelentísimo Sr. don Gaspar Melchor de Jovellanos, en 16 de junio de 1775, se quiere remontar su antigüedad a los tiempos del rey don Alfonso II el Casto: se dice que era muy apreciable por sus famosas prerrogativas en favor de la corona, y que algunos pueblos del reino de León se gobernaban por él; pero como todos estos datos no descansan más que sobre conjeturas más o menos fundadas, mientras no aparezca el original, o alguna copia de él, autorizada en debida forma, nada puede sentarse de positivo acerca de su antigüedad, ni tampoco sobre la importancia de sus disposiciones»."
10;"#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=2828#";12/7/1775 0:00:00;"Sevilla";"Madrid";"Campomanes";;1775;"Muy señor mío y mi favorecedor: En el correo de hoy se dirige al Supremo Consejo extraordinario un informe que yo he hecho por encargo de la Junta municipal de Temporalidades de esta ciudad, sobre el patronato de ciertas escuelas que deben establecerse en ella, y se dejó por la fundadora a los jesuitas. Como esta institución, bien establecida, será tan conforme a las ideas que V.S.I. expone en su sabio Discurso sobre la educación popular y puede producir al público las mayores utilidades, me ha parecido adelantar a V.S.I. esta noticia para que, cuando llegue este expediente a sus manos, se digne mirarle con la atención que merece, en el supuesto de que sólo con la vista del informe penetrará V.S.I. hasta donde puede interesarse la enseñanza pública de esta ciudad, si se diese a tan saludable establecimiento una forma ilustrada y constante. Con este motivo me repito a la disposición de V.S.I., y ruego a nuestro Señor guarde su importante vida muchos años. B. l. m. de V.S.I. su más reconocido fino servidor Gaspar de Jovellanos. P.D. Ilmo. Sr.: Nadie puede leer la fundación de que habla nuestro informe sin interesarse muy de veras en un establecimiento que sólo sabrán apreciar justamente los que conozcan como V.S.I. la suma de las utilidades que produce una buena educación. Esto sólo me ha movido a molestar la atención de V.S.I. con esta carta, para anticiparle una noticia tan conforme a sus ideas ilustradas."
