"Objeto";"Fecha";"Lugar emisión";"Lugar recepción";"Escribe a";"Recibe de";"año";"Texto de la carta"
"#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=2052#";18/3/1805 0:00:00;"Bellver";"Gijón";"Catalina de Sena (hermana)";;1805;"Mi querida Catuja: Aunque después que escribí a nuestra madre San Juan, con fecha de 28 de febrero, salió de aquí otro correo, no pude escribirte por él, como pensaba, por hallarme con una fuerte cargazón de cabeza, efecto, a lo que creo, de la obstrucción que padezco de algunos meses a esta parte, y que no acaba(n) de ceder a los diluentes y lavativas de que uso para curarla. Conozco que mi edad, mi situación y método de vida no me dan derecho a esperar una salud sin achaques; pero éste me aqueja e incomoda mucho, porque cuando la obstrucción dura y se prolonga, no sólo se resiente la cabeza, sino que la vista se me turba más y me priva del único alivio que puedo disfrutar aquí. En el día no es, gracias a Dios, tan rebelde, y a fuerza de régimen y de diluentes he logrado algún desahogo y voy tirando, si no libre, mejorado de ella, y sin otra novedad. Quiera Dios que nuestra monja logre también algún alivio en sus graves males y que tú te conserves tan buena y gorda como le dicen a Domingo. El 4 del corriente recibí tu carta del 5 del pasado; en ella me incluyes una de nuestra hermana, que acredita bien el interés que toma en mi suerte, del que estoy yo bien persuadido, y por lo mismo me sirve del mayor consuelo. Tú debes tenerle también en estar cerca de ella, así porque en su talento y virtud hallarás los consejos y ejemplos que tanto habemos menester para arreglar nuestra conducta, como por el gusto que hallarás en asistirla y consolarla en la aflicción que este mismo interés le inspira. Tú sabes que la providencia divina ha reducido nuestra numerosa familia a solos tres individuos, y. pues permite que uno haya sido separado para el dolor y sufrimiento, debemos mirar la reunión de los otros dos como dispuesta por aquella bendita mano para su alivio y consuelo. Por lo mismo me le ha dado muy grande lo que me dices en cuanto a tu resolución de permanecer en ésa y poner tus negocios a cargo de nuestro sobrino, pues ya tengo dicho, y nunca me cansaré de repetírtelo, que éste fue siempre mi deseo y es lo que más conviene al bien de todos. En cuanto a la cesión de acciones que me dices haber hecho a la hija de nuestra sobrina Escolástica, no puedo dejar de aprobarla como muy propia de tu buen corazón y de lo que debes a la memoria de su santa abuela y nuestra hermana la condesa, y mucho más habiéndote reservado el derecho de percibir sus réditos, pues que nada te sobra para vivir con decoro y ejercitar tu caridad. Esto es cuanto ocurre por hoy. Hazme el gusto de pasar ésta a nuestra monja, a quien escribiré otro día. Aunque la tengo presente con frecuencia en mi memoria, en los de hoy y mañana estará más viva en ella, con motivo de la celebridad de su santo. Dios ha sido servido de que hayan pasado ya cuatro años de triste ausencia sin que yo haya podido tener a su lado este día, que otras veces fue tan alegre para nosotros. Así convendrá para nuestro ejercicio y nuestro mayor bien. Consuélome con la reflexión de que el Señor, que así lo dispone, premiará también nuestra resignación con su santa voluntad y con que entretanto tu presencia suplirá en algún tanto la mía, al lado de tan buena hermana. Asegúrala, pues, de mi cariño, y tú, cierta del que te profeso, manda cuanto quieras a tu más fino hermano Gaspar Melchor."
"#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=1186#";8/3/1802 0:00:00;"Valldemosa";"Tarragona";"Carlos González de Posada";;1802;"Va ese testimonio de salud y amistad. Al principio no osé escribir; cedí, no al miedo proprio, sino al ajeno. Después le tuve por otros, viendo que la amistad hacia mí era un delito. Alejados los amigos, intimidados los demás, nadie osó entregar mis justas y vehementes quejas. Atrevióse mi capellán, y este rasgo de fidelidad le tiene en una cárcel. Mi inocencia está reconocida. ¡Pero es tan duro deshacer un atropellamiento tan atroz de todos los derechos! Veremos por dónde salen. Soy inocente, y Dios protege a los que lo son. Ninguno a sus ojos; y acaso me castiga porque, dado a ser bueno para el público, no supe serlo en su presencia. He aquí lo que me sostiene. Tengo buena salud y serenidad. Escribo cosa que puede ser útil; pero me aqueja la tristeza y poca salud de mis fieles compañeros. Esto para usted solo, sin excepción de tiempos y personas. Es un desahogo de la amistad, sólo digno de sus ojos, y que no puede pasar a otros. Vaya la adjunta por mano del buen Ahúja. Si usted responde (no lo exijo, y a decir verdad lo temo), sea por mano del padre Mestre, y con cubierta a don Domingo García de la Fuente. Adiós"
"http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=1187";1/7/1802 0:00:00;"Valldemosa";"Valldemosa";"Fray Bruno Muntaner";;1802;"Reverendísimo padre: Habiendo propuesto a mi patrón lo que V.R. me encargó acerca del plano y dibujo para el pórtico y frontispicio de la nueva iglesia de su comunidad, me ha mandado que, antes de dar paso en el asunto, comunique a V.R. una idea que acaso podrá llenar los deseos de entrambos. Dice este señor que, aunque no sería difícil que yo, enterado del terreno y de las circunstancias de la obra, pudiese con su dirección formar un dibujo expresivo de la idea que tantas veces explicó en sus conversaciones con V.R., recela que este trabajo, como de meros aficionados, saliese imperfecto, y desde luego carecería de las explicaciones del arte, sin las cuales los maestros del monasterio nunca podrían ejecutar la obra. Por esto, y porque el consejo de un facultativo es también necesario para la ejecución de las bóvedas, de la cúpula y del ornato interior de la iglesia, cree mi patrón que el monasterio, empeñado en tan grande obra, no puede dejar de ocurrir a él, y que, pues no le hay en la isla tal como pudiera desearse, parece indispensable traerle de afuera. Mas como esto sería muy costoso, piensa este señor que se pudiera tomar el medio de hacer venir aquí por un par de meses a mi hermano don Juan, arquitecto de profesión, discípulo de don Manuel Martín Rodríguez y empleado con él en Zaragoza en calidad de delineador de las obras de aquel canal. Cree mi patrón que no sería difícil que su maestro, rogado por la comunidad, diese a mi hermano una licencia temporal para este fin, con lo que no sólo podría levantar la planta, alzado y proyecto del pórtico y frontispicio, sino también arreglar con los maestros lo relativo a la construcción de la cúpula y ornato interior de la iglesia (esto es, cornisas, pilastras, puertas y tribunas), y aun también proyectar los altares, sillerías de coro, cajonerías de sacristía, etc., pues aunque todo esto pide mucho tiempo, bastaría que tomase las medidas y se enterase de las ideas de la comunidad, para que, restituido a su destino, lo trabajase allí a su espacio. Quiere este señor que yo prevenga a V.R. que mi hermano no está aún examinado de arquitecto, aunque sí perfectamente instruido en la arquitectura, y que, cuando acerca de esto hubiese alguna duda, se podrá exigir que someta cuanto proyectare al examen y aprobación de su maestro. Quiere también que le diga que esta empresa no puede ser muy dispendiosa, pues bastará que se le costee a mi hermano su viaje de ida y vuelta y que, acabada su comisión, la comunidad le señale una gratificación cual juzgase proporcionada a su trabajo y desempeño. Por último, quiere que diga a V.R. que, pues conoce su corazón, espera que no mirará esta propuesta como dictada por ningún interés hacia mí o hacia mi hermano, sino por la inclinación y gratitud que profesa a sus amados cartujos, y por el deseo de que la obra sea digna del sublime objeto a que está consagrada, de la respetable comunidad que la costea y del país y del siglo en que se hace. Con este motivo me repito a la disposición de V.R., esperando su resolución y sus apreciables órdenes, como su más reverente servidor q.b.s.m. Manuel Martínez Marina."
"1 de agosto de 1802#http://1 de agosto de 1802#";1/8/1802 0:00:00;"Bellver";"Valldemosa";"Fray Bruno Muntaner";;1802;"Muy señor mío y de mi mayor veneración: Como V.R., al mismo tiempo que parece adoptar la propuesta que tuve el honor de hacerle en mi carta última, añade que su venerable comunidad desea saber mi dictamen sobre los dibujos formados por el padre capuchino de esa ciudad, que a este fin envía, creo que se debe zanjar este punto antes de dar paso en el otro. Yo no me atrevo a formar juicio sobre estos dibujos, porque sólo tengo unos cortos principios de arquitectura; y aunque al parecer la idea del pórtico es bastante buena, aunque no muy bien combinada con el resto del frontispicio, en uno ni en otro plano, fuera en mí una temeridad fijarme en este dictamen. Por tanto, si la venerable comunidad no tratase por ahora sino del dicho pórtico, parece que sería mejor enviar los planos al examen de mi hermano, para que diese su dictamen sobre ellos con la dirección de su maestro el señor don Manuel Martín Rodríguez, director de las obras del Real Canal de Aragón. Pero si, mirando a los demás puntos indicados en mi carta, estuviese ya decidida por la venida de mi hermano, V.R. podrá dirigirse desde luego a nombre de la misma comunidad al dicho señor su maestro, quedando a mi cargo escribir a mi hermano más a la larga sobre el asunto. Entretanto, dando a V.R. las más humildes gracias por la bondad con que ha recibido mi proposición, y ofreciéndome a sus órdenes, ruego a nuestro Señor, etc."
"#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=1189#";1/10/1802 0:00:00;"Barcelona";"Bellver";;"Pedro Díaz de Valdés";1802;"«En el otoño de 1802 el obispo de Barcelona, hechura del Sr. Jovellanos, prefiriendo su gratitud al temor de la política cortesana, se atrevió a interceder por su amigo con el valido, que se hallaba allí con la corte, y con quien parecía haber hallado gracia. Éste le contestó que Jovellanos era impío, que ya el rey padre le tenía por tal, que era ingrato, pues habiéndole hecho ministro de Gracia y Justicia le había querido expatriar; con todo eso, le aliviaría, etc. El obispo lo avisó todo a su bienhechor, quien contestó con su acostumbrada moderación y bizarra firmeza de carácter en una carta que merecía copiarse en láminas de oro. La leyó Godoy, y disimulando con el obispo su enojo de que tuviese Jovellanos tanta facilidad para recibir cartas y contestarlas en breve tiempo, cuando él juzgaba que no tenía recado de escribir, consultó en la trinca [la reina, Godoy, Soler], o sin consultar a nadie, mandó al capitán general de Mallorca pasase con tropa a Bellver, reconociese los papeles del preso y no sé qué advertencias debía hacerle además, pues esto quedó entre ellos y ambos murieron ya; lo que sé es que se le mudó la guardia, prohibiendo que fuese de españoles, y comenzaron a hacerla los suizos y el regimiento de Borbón»."
"http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=1189";1/10/1802 0:00:00;"Bellver";"Barcelona";"Pedro Díaz de Valdés";;1802;"«En el otoño de 1802 el obispo de Barcelona, hechura del Sr. Jovellanos, prefiriendo su gratitud al temor de la política cortesana, se atrevió a interceder por su amigo con el valido, que se hallaba allí con la corte, y con quien parecía haber hallado gracia. Éste le contestó que Jovellanos era impío, que ya el rey padre le tenía por tal, que era ingrato, pues habiéndole hecho ministro de Gracia y Justicia le había querido expatriar; con todo eso, le aliviaría, etc. El obispo lo avisó todo a su bienhechor, quien contestó con su acostumbrada moderación y bizarra firmeza de carácter en una carta que merecía copiarse en láminas de oro. La leyó Godoy, y disimulando con el obispo su enojo de que tuviese Jovellanos tanta facilidad para recibir cartas y contestarlas en breve tiempo, cuando él juzgaba que no tenía recado de escribir, consultó en la trinca [la reina, Godoy, Soler], o sin consultar a nadie, mandó al capitán general de Mallorca pasase con tropa a Bellver, reconociese los papeles del preso y no sé qué advertencias debía hacerle además, pues esto quedó entre ellos y ambos murieron ya; lo que sé es que se le mudó la guardia, prohibiendo que fuese de españoles, y comenzaron a hacerla los suizos y el regimiento de Borbón»."
"http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=1190";4/3/1803 0:00:00;"Santander";"Bellver";;"Pedro Martínez Marina";1803;"Perdida. Estaba en el archivo de Fuertes Acevedo, leg. D.d.1. Según Somoza (Inventario, pág. 111) incluía otra para su hermano Manuel, el secretario de Jovellanos en Bellver"
"#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=1193#";6/3/1803 0:00:00;"Bellver";;"Juan Agustín Ceán Bermúdez?";;1803;"Cuánto consuelo y placer me ha proporcionado, hermano mío, tu amabilísima carta escrita el 27 de enero, no sabría fácilmente expresártelo. En efecto, dado que evidencia (?) de manera bien clara la firmeza de tu lealtad y amistad hacia mí, así como la bondad de los desvelos con que persigues todo cuanto es de mi interés, nunca podría llegarme cosa alguna más grata ni más cara que ella. Y si esto es digno de alabanza, y en el máximo grado, también resulta para mí mayor motivo de contento en cuanto que te hace brillar especialmente, incluso dentro del pequeño grupo de amigos que no me han abandonado en esta tan desdichada tempestad de envidias y rivalidades. Por lo demás, y en cuanto a lo de que te dueles de mis calamidades hasta las lágrimas, aunque esto también me resulte muy grato, no acabo de aprobarlo. Cierto que son —y no lo voy a negar— muchas y muy grandes las que padezco; pero tampoco tan grandes como tal vez desearían los que estuvieron en sus orígenes, ni tales que hayan podido hacer caer mi ánimo en el desconcierto o volverlo desdichado. Y es que siempre, desde los comienzos de mi juventud, ha sido mi mayor afán el de esforzarme por robustecer y guarnecer mi ánimo, tanto con vistas a la moderación en la prosperidad como a la paciencia en la adversidad, no olvidando nunca aquella áurea sentencia de Horacio: Espera en la adversidad, en la prosperidad teme/  la contraria suerte el ánimo bien preparado./ Pero quizá incluso esto resultara vano y sin sentido, si el buen Dios, en cuyas manos están nuestros destinos, no se hubiera dignado, en éste que me ha tocado a mí, sostenerme y confortarme con más generosos auxilios y más benigna providencia. En efecto, su voz está clamando de continuo —y nunca será bastante— dentro de mi corazón: «Ten buen ánimo y sé un varón valiente; mi consuelo te llegará a su tiempo». Aparte de esto, el que un hombre despojado por entero de patria, de casa, de parientes, de amigos, en fin, de libertad —que para muchos es el primer bien y para mí, desde luego, el más grande después de la virtud y la honra— pueda todavía no sólo vivir tranquilo, sino incluso hallar un poco de placer en el descanso, en los libros, en el trato con personas escasas y ajenas, resulta apenas humano y casi milagroso. Pero basta de esto. En cuanto a lo que tú has conjeturado en torno a la carta de ese hombre desconocido, concuerda a la perfección con mi opinión, dado que desde el principio he sospechado que es de dudosa o poco fiable condición, y escrita más por malevolencia o chanza que seriamente. Y no es esto de extrañar; en efecto, infinito es el número de los hombres malvados, como lo es el de los necios. Ahora bien, la maldad de aquellos que se gozan en añadir algo de dolor a las angustias de los desdichados, o en bromear con ellas, es sin duda la más grande y la más necia. En cuanto al consejo de nuestro nobilísimo amigo, no encuentro respuesta que dar ni a ti ni a él; pero qué puedo hacer, o mejor, no hacer, lo sé muy bien y con harto dolor. Pues lo que me aconseja no me está permitido. En efecto, el derecho de escribir y de suplicar, aunque sea lo último en la libertad, tampoco ignora él que nos está negado, pues suprimida así, como decía Tácito, por medio del espionaje incluso la facultad de oír y escuchar, hubiéramos perdido con la voz también la memoria, si el olvidar estuviera tan en nuestro poder como el callar. En fin, hermano mío, que nada puedo esperar de los hombres; nada, a no ser de Dios, que cuida de la inocencia y de la justicia. Pero algo nos concede Él con la mayor benevolencia: nos consuela y nos sostiene; Él, entretanto, se digna dispensarnos mucha satisfacción y consuelo en el afecto de los amigos y en la compasión de los buenos. Quisiera que no te olvides de una cosa: que me contestes alguna vez, aunque sea con pluma y nombre ajenos. Te ruego me digas algo de ti, de los comunes amigos —si es que algunos quedan—, especialmente de nuestro Meléndez, cuya suerte ignoro por entero. Si envías tu carta directamente a Félix Mas, no dudes de que llegará con seguridad a mí. Al distinguido amigo que está junto a ti le envío un saludo muy amistoso. Por tu salud y bienandanza ruego a Dios Todopoderoso de modo continuo y ferviente. Adiós. En B[ellver], a 6 de marzo."
"#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=1194#";26/6/1803 0:00:00;"Barcelona";"Bellver";;"Miguel Galcerán";1803;"Perdida. Estaba en el archivo de Fuertes Acevedo, leg. A.c.2. Según Somoza (Inventario, pág. 103) le daba noticias del señor Despuig."
"#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=1195#";31/8/1803 0:00:00;"Madrid";"Bellver";;"José Rodríguez Argüelles";1803;"Perdida. Estaba en el archivo de Fuertes Acevedo, leg. F.a.1. Según Somoza (Inventario, pág. 114) trataba «sobre entrega de la librería de don Gaspar. Sucesos ocurridos en Oviedo con motivo de la leva»."
