Objeto;Fecha;Lugaremisión;Lugarrecepción;Escribea;Recibede;año;Textodelacarta
#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=2566#;25/11/1797 0:00:00;San Lorenzo de El Escorial;Madrid;Campomanes;;1797;Mi venerado amigo y señor: No pudiendo dudar ni de la buena amistad de usted, ni del sincero interés que toma en mi bien, le retribuyo las más finas gracias, no tanto por la enhorabuena con que me honra, cuanto por sus buenos y sabios consejos, que conozco dictados por los mismos principios, y puedo asegurar a usted no sólo que procuraré seguirlos, sino que si usted me lo permite recurriré en la ocasión a buscar los que su superior talento y larga experiencia de negocios pueda comunicarme. Entretanto renuevo a usted la seguridad de mi buen afecto, y en fe de él me repito suyo de corazón fino amigo y reconocido servidor q. s. m. b. Gaspar de Jovellanos.
#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=3197#;9/9/1790 0:00:00;Gijón;Madrid;Marqués de la Hinojosa;;1790;Muy señor mío: Para que pueda liquidarse lo que tengo devengado por razón de dietas y carruaje en mi comisión de Salamanca, con arreglo a lo determinado por el Consejo, participo a V.S. que salí para ella de esa corte el día 5 de abril y llegué el 8 a Salamanca, de donde volví a salir el 20 de agosto, llegando a Madrid el día 22 inmediato. El carruaje a la ida costó 25 doblones, y a la vuelta 17. Espero que V.S. pase este aviso a donde convenga, a fin de que, rebajadas las cantidades que tengo recibidas de Tesorería, se pague el resto a mi apoderado don Juan Agustín Ceán Bermúdez, que se presentará a recibirlo con poder bastante. Con este motivo me repito a la disposición de V.S., deseoso de que me comunique sus órdenes. B. l. m. de V.S. su más atento seguro servidor D. Gaspar Melchor de Jovellanos.
#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=3198#;11/9/1790 0:00:00;Madrid;Gijón;;Marqués de la Hinojosa;1790;Muy señor mío: Habiendo resuelto el Rey la consulta sobre Plan de estudios de los Conventos y Colegios de las Órdenes de Santiago y Alcántara, con arreglo a lo que propuso el Consejo bajo los números 1.°, 2.°, 3.° y 4.°, pero no en cuanto a los 5.° y 6.°, relativos a la prorrogación de la Encomienda de Valencia del Bentoso y capacidad de los freiles para obtener plazas eclesiásticas, ha acordado el Consejo se lo participe a V.S., como que espera que a la posible brevedad se regrese a Salamanca, a fin de que se le puedan comunicar las órdenes convenientes para la plantificación del nominado Plan. Dios guarde a V.S. muchos años. B. l. m. de V.S. su más afecto seguro servidor El Marqués de la Hinojosa.
#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=3199#;14/9/1790 0:00:00;Gijón;Madrid;Antonio Porlier y Sopranis;;1790;"Muy señor mío: Habiendo emprendido mi viaje a este Principado el 28 de agosto, como avisé a V.E. en oficio de 27, he llegado a esta villa el domingo 12 del presente, y pienso salir en la presente semana a reconocer las principales minas de carbón de piedra que están ya descubiertas y puestas en beneficio. Del progreso y resultado de estas diligencias daré cuenta a S.M. por la vía de Marina, de que dimana mi comisión; pero doy este aviso a V.E. en crédito de mi respeto, por si V.E. tuviere que dirigirme alguna orden. Con este motivo me repito a las órdenes de V.E. y ruego a nuestro Señor guarde su vida muchos años. B. l. m. de V.E. su más atento seguro servidor D. Gaspar de Jovellanos."
#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=3200#;14/9/1790 0:00:00;Gijón;Madrid;Antonio Valdés y Bazán;;1790;Muy señor mío: Habiendo llegado a Oviedo el 11 del corriente, traté con el Regente de aquella Audiencia de los auxilios que podría necesitar para el desempeño de la comisión puesta a mi cuidado, y con fecha de hoy le dirijo desde aquí oficio formal para que a este fin expida las órdenes correspondientes a las justicias en cuyos territorios se hallan situadas las principales minas de carbón que están puestas en beneficio. Igual oficio paso al ministro de Marina de la provincia de Ribadesella, dándole aviso de que a fines de la presente semana salgo a empezar el reconocimiento de dichas minas por Llanes y Ribadesella, para que procure abocarse conmigo y suministrarme las noticias que tuviere, según el tenor de la Real Orden de 14 de abril último. Todo lo pongo en noticia de V.E., repitiéndome con este motivo a sus órdenes con todo rendimiento. Nuestro Señor guarde a V.E. muchos años. B. l. m. de V.E. su más atento seguro servidor D. Gaspar Melchor de Jovellanos.
#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=3201#;18/9/1790 0:00:00;Gijón;Madrid;Marqués de la Hinojosa;;1790;"Muy señor mío: En contestación de la orden del Consejo que V.S. me comunica con fecha del 11, digo que voy a montar a caballo para empezar el reconocimiento de las minas de carbón de piedra de este Principado; que, cuando le haya concluido propondré a la corte mis ideas relativas al beneficio, tráfico y libre extracción de este fósil; que, aunque esto es cuanto hasta ahora me está encargado, esperaré antes de salir de aquí las órdenes del gobierno, y que, cuando no la tuviere para ejecutar alguno de sus designios y me hallare del todo libre de este encargo, estaré, como siempre, pronto para desempeñar cuantos se sirviere hacerme el Consejo. A este fin le iré avisando del estado de mi comisión, para que con inteligencia de ella pueda resolver lo que fuere más de su agrado. Sírvase V.S. de ponerlo todo en su noticia, mandando cuanto quiera, mientras ruego a nuestro Señor guarde su vida muchos años."
#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=3203#;6/10/1790 0:00:00;Gijón;Madrid;Duque de Híjar;;1790;"Muy señor mío: En consecuencia de lo acordado con V.E. y el Consejo a mi partida, paso a sus manos los adjuntos informes de las Visitas pública y secreta del Colegio Imperial de Calatrava, para que, uniéndolos a los respectivos autos y al Reglamento que dirigí a V.E. desde mi casa de Madrid, tenga la bondad de dar de uno y otro cuenta en el Consejo. El borrador de estos informes se escribió en la mayor parte de los descansos del camino, como ofrecí; mas no encontrando a mi arribo quien entendiese mi letra ni los pusiese en limpio, e instado por otra parte a aprovechar la buena estación para reconocer las minas situadas en parajes más fragosos y más distantes de aquí, emprendí este viaje, y habiéndolo hecho, no sin gran molestia, hallé a mi vuelta en la bondad de un amigo el auxilio que necesitaba. Acompañan a los informes dos certificaciones que dejé mandado formar a mi partida de Salamanca, y que recibí aquí; ambos pertenecen a los autos de la visita pública. Espero que V.E. disimulará benignamente la involuntaria dilación de este envío, y que seguro de mi respeto y gratitud me dirigirá sus apreciables órdenes. Nuestro Señor guarde a V.E. muchos años. De V.E. su más rendido atento servidor D. Gaspar Melchor de Jovellanos."
#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=3204#;9/10/1790 0:00:00;Gijón;Londrés;Marqués del Campo;;1790;Perdida. Citada en la carta del marqués del Campo de 2 de diciembre siguiente. Le pedía libros ingleses.
#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=3206#;3/11/1790 0:00:00;Oviedo;Ibiza;Carlos González de Posada;;1790;Mi amado Magistral: Cada día siento más la falta de su conversación y compañía, y ya que mañana no podemos celebrar con ella los días de su nombre, allá va una señal de mi memoria y de nuestra amistad. Por nada deje usted de continuar en su obra, ni de mandar lo que quiera a su fino Jovellanos.
#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=3207#;8/11/1790 0:00:00;Oviedo;Ibiza;Carlos González de Posada;;1790;"Amigo mío: No merecen mis versos tanto elogio; pero pues usted los aprueba, entro en gana de mejorarlos, y por lo mismo no quiero que corran copias hasta que los hayamos corregido en Gijón. No está aquí Carreño. Por lo que toca al Cuco de Sierra, saldremos sin él en Gijón por mis papeles. Veré lo que se puede sacar de Centi y Solís. Tengo muy adelantada mi idea de una Academia Asturiana, de que hablaremos mucho y sobre que se escribirá. Venturina se dice enojada y exige una carta para la reconciliación. Unos versecillos la harán mejor. Nadie parece en el negocio de Serra, a quien deseo servir. Cuídese usted, y mande a su afectísimo Jovino. Mil expresiones a nuestro Ahúja."
